date,open,high,low,close,volume,index_name
2019-01-02,14163.900390625,14400.2998046875,14112.7998046875,14347.2001953125,270319800,TSX
2019-01-03,14294.099609375,14297.900390625,14155.2998046875,14212.7998046875,211587200,TSX
2019-01-04,14351.599609375,14438.599609375,14314.7998046875,14426.599609375,231237200,TSX
2019-01-07,14471.0,14515.099609375,14383.099609375,14504.099609375,257832000,TSX
2019-01-08,14610.5,14645.599609375,14533.900390625,14605.2001953125,260100900,TSX
2019-01-09,14668.5,14811.099609375,14644.099609375,14804.7001953125,269093100,TSX
2019-01-10,14770.7001953125,14921.099609375,14702.2998046875,14903.5,262984000,TSX
2019-01-11,14874.2001953125,14956.2001953125,14855.2001953125,14939.2001953125,249299500,TSX
2019-01-14,14881.0,14997.900390625,14881.0,14975.5,228994500,TSX
2019-01-15,15002.0,15079.7998046875,14966.5,15046.2998046875,241300600,TSX
2019-01-16,15072.2998046875,15118.2998046875,15057.0,15111.2998046875,248816800,TSX
2019-01-17,15077.099609375,15238.099609375,15066.5,15211.2001953125,257298500,TSX
2019-01-18,15295.0,15325.599609375,15258.900390625,15303.7998046875,293702200,TSX
2019-01-21,15300.400390625,15354.2001953125,15263.0,15354.2001953125,92562500,TSX
2019-01-22,15276.2998046875,15285.2001953125,15160.5,15233.7998046875,228363300,TSX
2019-01-23,15275.7001953125,15293.2998046875,15141.5,15208.2998046875,210174500,TSX
2019-01-24,15201.5,15281.2998046875,15194.2998046875,15280.7998046875,206075300,TSX
2019-01-25,15350.2001953125,15388.0,15298.400390625,15366.099609375,216014400,TSX
2019-01-28,15289.099609375,15378.599609375,15276.900390625,15378.599609375,226010300,TSX
2019-01-29,15414.7001953125,15497.400390625,15413.900390625,15463.099609375,233364800,TSX
2019-01-30,15493.400390625,15520.900390625,15418.599609375,15484.599609375,233825500,TSX
2019-01-31,15507.400390625,15564.599609375,15486.5,15540.599609375,286422200,TSX
2019-02-01,15562.2998046875,15569.0,15483.400390625,15506.2998046875,224777300,TSX
2019-02-04,15527.400390625,15606.2998046875,15513.7001953125,15602.2998046875,245284400,TSX
2019-02-05,15631.7998046875,15702.7001953125,15627.7998046875,15702.7001953125,217732500,TSX
2019-02-06,15679.900390625,15745.400390625,15668.599609375,15712.2998046875,218136700,TSX
