date,open,high,low,close,volume,index_name,daily_return,sma_20,sma_50,volatility_7d,volatility_30d,rsi,rsi_signal
2019-03-14,7257.31005859375,7267.93994140625,7240.9599609375,7243.009765625,-2096067296,Nasdaq 100,-0.0019250728100875802,7113.251977539063,6877.914384765625,0.010813248497242085,0.007575559864608908,67.43832901477317,Neutral
2019-03-15,7274.14013671875,7331.2998046875,7265.6298828125,7306.990234375,-843107296,Nasdaq 100,0.00883340915176567,7127.480493164063,6896.836787109375,0.01045649431318965,0.00732011243300548,70.85693176035524,Overbought
2019-03-18,7311.6298828125,7348.68994140625,7293.85009765625,7326.27978515625,-1992827296,Nasdaq 100,0.002639876359832094,7141.035473632813,6920.41978515625,0.007881596521585089,0.007218976002881715,71.81761256681885,Overbought
2019-03-19,7357.580078125,7390.2900390625,7321.93017578125,7349.27978515625,-1837047296,Nasdaq 100,0.003139383244221694,7155.168969726563,6938.951982421875,0.0073030875558983835,0.0069647797381079965,72.96209033053631,Overbought
2019-03-20,7348.990234375,7422.75,7318.419921875,7380.75,-1830737296,Nasdaq 100,0.004282081477876565,7171.0894775390625,6956.801982421875,0.0035592744443864715,0.00684491381066017,74.48866920252308,Overbought
2019-03-21,7356.93994140625,7505.41015625,7356.93994140625,7493.27001953125,-1792157296,Nasdaq 100,0.015245065817328873,7193.994970703125,6975.630380859375,0.0054945395544095275,0.007196920375033246,79.04442546957051,Overbought
2019-03-22,7458.43994140625,7482.35009765625,7323.52001953125,7326.06005859375,-1790227296,Nasdaq 100,-0.022314685110995103,7205.7664794921875,6990.137783203125,0.011784534562157164,0.008017039772797026,61.475460161411675,Neutral
2019-03-25,7299.93017578125,7342.509765625,7265.27978515625,7316.9599609375,-2132477296,Nasdaq 100,-0.001242154389053285,7215.84296875,7004.05818359375,0.011755071607884705,0.008037817659813434,60.684919326780665,Neutral
2019-03-26,7378.22998046875,7417.259765625,7314.3798828125,7351.14990234375,2080350000,Nasdaq 100,0.004672697621522781,7227.239453125,7019.05318359375,0.01142368108745691,0.008038669052743157,62.62934019035645,Neutral
2019-03-27,7364.47021484375,7376.990234375,7252.06005859375,7308.18994140625,-2050897296,Nasdaq 100,-0.005843978358243351,7236.7989501953125,7034.396181640625,0.011658123929775256,0.007765635192062098,58.70084980649331,Neutral
2019-03-28,7325.06005859375,7346.0400390625,7277.68994140625,7320.47021484375,1922150000,Nasdaq 100,0.0016803440435946282,7247.945971679687,7047.412783203125,0.011599392406606105,0.0077623187599190485,59.483218811461924,Neutral
2019-03-29,7377.77001953125,7381.68994140625,7333.169921875,7378.77001953125,-1983177296,Nasdaq 100,0.007963942612495778,7259.305981445313,7061.616982421875,0.011931265379714064,0.007851893730164707,63.06089203833242,Neutral
2019-04-01,7450.81005859375,7481.83984375,7422.43994140625,7478.419921875,-2064917296,Nasdaq 100,0.013504947583402371,7275.685473632812,7076.816376953125,0.011574035068903664,0.008128723484761503,68.22551596620505,Neutral
2019-04-02,7473.509765625,7507.0498046875,7461.509765625,7499.64013671875,2123250000,Nasdaq 100,0.0028375265183597786,7292.827978515625,7091.116982421875,0.006256014215316125,0.008129925089977423,69.21266335831916,Neutral
2019-04-03,7538.169921875,7589.68994140625,7520.39990234375,7544.97021484375,-1785337296,Nasdaq 100,0.006044300432904937,7314.452978515625,7109.080185546875,0.005960373021399281,0.008146625056457432,71.26626830581343,Overbought
2019-04-04,7542.16015625,7571.1298828125,7496.2998046875,7540.56982421875,-2142327296,Nasdaq 100,-0.0005832217357655267,7340.137475585938,7126.71638671875,0.006245769260645427,0.008084073963980273,70.77275334835966,Overbought
2019-04-05,7564.27001953125,7581.89990234375,7554.91015625,7578.83984375,-2137917296,Nasdaq 100,0.005075215855482762,7368.294970703125,7144.2421875,0.004632362551477401,0.008033827416785315,72.55293510817206,Overbought
2019-04-08,7565.06005859375,7602.080078125,7536.419921875,7599.740234375,2075550000,Nasdaq 100,0.002757729554377031,7390.080981445312,7160.48958984375,0.0045115721854251814,0.008031010718636225,73.50215620152017,Overbought
