date,open,high,low,close,volume,index_name,daily_return,sma_20,sma_50,volatility_7d,volatility_30d,rsi,rsi_signal
2019-03-14,25692.310546875,25752.83984375,25621.310546875,25709.939453125,302790000,Dow Jones,0.0002742426222730465,25798.491796875,25013.7322265625,0.005719933260437929,0.00615835441309652,56.35242865957391,Neutral
2019-03-15,25720.9609375,25927.91015625,25649.69921875,25848.869140625,616910000,Dow Jones,0.0054037345266138015,25818.96572265625,25063.7848046875,0.0056857389123632805,0.006204153917518407,60.00939880411845,Neutral
2019-03-18,25801.880859375,25924.76953125,25785.66015625,25914.099609375,303170000,Dow Jones,0.0025235327857140444,25820.508203125,25128.3423828125,0.004161476162052657,0.006203797580863124,61.63472225588437,Neutral
2019-03-19,25987.869140625,26109.6796875,25814.919921875,25887.380859375,342250000,Dow Jones,-0.0010310506790802698,25820.31123046875,25177.426796875,0.00417903980411145,0.006114403353723119,60.54919541670551,Neutral
2019-03-20,25867.7890625,25929.51953125,25670.630859375,25745.669921875,321980000,Dow Jones,-0.00547413190503121,25809.87275390625,25221.713203125,0.004327932398745415,0.006113374887098223,55.01484175262438,Neutral
2019-03-21,25688.439453125,26009.900390625,25657.779296875,25962.509765625,335250000,Dow Jones,0.008422381099734366,25815.46669921875,25265.2144140625,0.004744337281243159,0.006277525884379109,60.90350541651016,Neutral
2019-03-22,25844.650390625,25877.009765625,25501.44921875,25502.3203125,386510000,Dow Jones,-0.017725152817633316,25788.9921875,25297.6784375,0.00859772331295624,0.006929284769963627,46.878489428212255,Neutral
2019-03-25,25490.720703125,25603.26953125,25372.259765625,25516.830078125,303120000,Dow Jones,0.0005689586456134599,25760.23623046875,25327.976640625,0.008606215497544305,0.006906510955424614,47.29064125338534,Neutral
2019-03-26,25649.560546875,25796.2890625,25544.779296875,25657.73046875,305110000,Dow Jones,0.005521861069482492,25740.22373046875,25361.212265625,0.008621069680545228,0.0069449342476630704,51.24640157659587,Neutral
2019-03-27,25676.33984375,25758.169921875,25425.26953125,25625.58984375,270340000,Dow Jones,-0.0012526682762976638,25722.24521484375,25395.527265625,0.008478793483059816,0.006424046897626007,50.31872064036977,Neutral
2019-03-28,25693.3203125,25743.41015625,25576.689453125,25717.4609375,237170000,Dow Jones,0.0035851308910419544,25712.31826171875,25428.5646875,0.008703962141482426,0.006402647076385385,52.94104716534086,Neutral
2019-03-29,25827.310546875,25949.3203125,25771.669921875,25928.6796875,300620000,Dow Jones,0.008213048345375729,25707.43623046875,25462.995078125,0.009038120208527404,0.006509040449594751,58.38021094705682,Neutral
2019-04-01,26075.099609375,26280.900390625,26071.689453125,26258.419921875,295570000,Dow Jones,0.012717201120501453,25729.37470703125,25500.761484375,0.009740656947059556,0.006134758742637571,65.15184949596505,Neutral
