date,open,high,low,close,volume,index_name,daily_return,sma_20,sma_50,volatility_7d,volatility_30d,rsi,rsi_signal
2019-03-13,16193.099609375,16212.599609375,16143.5,16150.0,271091300,TSX,0.0008241960578385665,16003.61005859375,15516.8999609375,0.0034831519241000984,0.0037535216080154146,71.71332261912576,Overbought
2019-03-14,16139.400390625,16144.5,16083.099609375,16087.599609375,196598800,TSX,-0.00386380127708974,16026.655029296875,15551.70794921875,0.003777110656597404,0.003877260028142444,65.32351205499873,Neutral
2019-03-15,16156.7001953125,16174.5,16123.7998046875,16140.400390625,635539200,TSX,0.003282079522866299,16048.875048828126,15590.2599609375,0.003977591248044092,0.0038707906668413268,67.92760928612492,Neutral
2019-03-18,16149.099609375,16251.400390625,16148.2998046875,16251.400390625,231369100,TSX,0.006877152816139098,16069.53505859375,15626.7559765625,0.004427531566648004,0.003944006380794535,72.5880715295778,Overbought
2019-03-19,16275.2998046875,16275.2998046875,16188.099609375,16188.099609375,250958500,TSX,-0.003895097021086036,16082.07001953125,15660.4359765625,0.004456599457404648,0.003966612238807779,66.64091478989819,Neutral
2019-03-20,16168.2001953125,16214.7001953125,16118.0,16167.599609375,261723000,TSX,-0.001266362358440687,16088.889990234375,15691.68396484375,0.0039140235792280995,0.0038665517844457486,64.78960568387552,Neutral
2019-03-21,16148.7998046875,16266.5,16146.400390625,16244.599609375,254945500,TSX,0.004762611758108548,16101.074951171875,15720.481953125,0.0042166488424450685,0.003926709083529394,68.3465759192262,Neutral
2019-03-22,16172.900390625,16185.400390625,16043.900390625,16089.2998046875,325520900,TSX,-0.009560088178342974,16104.88994140625,15744.19794921875,0.0058013234764501985,0.004377258952570451,56.048475974271824,Neutral
2019-03-25,16066.2998046875,16113.2001953125,16021.0,16065.900390625,234398100,TSX,-0.001454346326226208,16105.3349609375,15766.731953125,0.005639310659248698,0.004285533823443616,54.45844619348615,Neutral
2019-03-26,16138.900390625,16192.2001953125,16116.7001953125,16155.2001953125,242530400,TSX,0.005558344226982204,16109.699951171875,15790.32595703125,0.005930282188888345,0.004257333263310572,59.21382030068359,Neutral
2019-03-27,16147.400390625,16187.400390625,16079.099609375,16132.5,244631900,TSX,-0.001405132405544962,16112.6099609375,15812.0499609375,0.0051366026231153845,0.004232117307022317,57.568223476438575,Neutral
2019-03-28,16094.099609375,16173.2001953125,16094.099609375,16155.5,223248900,TSX,0.0014256934759027118,16120.4349609375,15832.93396484375,0.005035895899788619,0.004215239405940182,58.81704615763498,Neutral
2019-03-29,16200.2998046875,16212.7001953125,16081.099609375,16102.099609375,227955800,TSX,-0.0033054000572559916,16122.124951171874,15850.751953125,0.005160099119957982,0.00424205563202146,54.785458174622775,Neutral
2019-04-01,16187.900390625,16228.099609375,16153.599609375,16228.099609375,233225700,TSX,0.00782506648553083,16131.624951171874,15869.23794921875,0.005779995740092402,0.004165061883949837,61.49247416803446,Neutral
2019-04-02,16240.400390625,16263.900390625,16194.900390625,16263.900390625,178277900,TSX,0.0022060981945981606,16140.494970703125,15887.431953125,0.0040253988182529865,0.004046376825646384,63.16443163487105,Neutral
2019-04-03,16296.0,16338.0,16244.5,16279.900390625,224154600,TSX,0.0009837738559455023,16149.885009765625,15908.35396484375,0.00382247954796929,0.003926287124269218,63.91844155418914,Neutral
2019-04-04,16290.0,16311.599609375,16249.900390625,16311.599609375,189917700,TSX,0.0019471383724347646,16162.639990234375,15930.4199609375,0.0034739972888595807,0.0039075001325742376,65.42832480527966,Neutral
2019-04-05,16337.900390625,16396.19921875,16330.2001953125,16396.19921875,170618000,TSX,0.005186469224414791,16182.63994140625,15952.72794921875,0.003485797223337983,0.003994454260850559,69.13991241848045,Neutral
2019-04-08,16373.099609375,16407.30078125,16326.7001953125,16407.30078125,207573900,TSX,0.0006770814596657182,16197.694970703125,15973.55197265625,0.0035291689139379627,0.003977425058549525,69.60112091184676,Neutral
2019-04-09,16340.599609375,16345.900390625,16294.2998046875,16336.5,175136900,TSX,-0.004315199812202519,16207.6849609375,15992.70998046875,0.0038025783950286583,0.004082639390518593,63.121953546626884,Neutral
2019-04-10,16369.0,16409.80078125,16368.0,16396.30078125,213547500,TSX,0.0036605626205123976,16220.0,16011.37400390625,0.002992029284263774,0.004121422653821269,66.00084065336151,Neutral
2019-04-11,16412.80078125,16471.80078125,16399.5,16399.5,230076600,TSX,0.00019511832532725926,16235.59501953125,16029.67201171875,0.003006973287682696,0.00399725424308898,66.15306978698472,Neutral
2019-04-12,16473.900390625,16487.099609375,16437.30078125,16480.5,195851400,TSX,0.0049391749748468605,16252.6,16048.47001953125,0.003317240275201192,0.004017088314557465,69.83562822539987,Neutral
2019-04-15,16459.900390625,16532.69921875,16443.30078125,16515.5,194884000,TSX,0.002123721974454762,16265.80498046875,16068.6540234375,0.003319608731605695,0.003989603854637186,71.28922192683336,Overbought
2019-04-16,16537.69921875,16553.400390625,16498.599609375,16502.19921875,202476900,TSX,-0.0008053514123096406,16281.5099609375,16086.65201171875,0.0030572819871403137,0.003983517372309651,69.91047427430645,Neutral
2019-04-17,16535.900390625,16553.400390625,16495.69921875,16544.19921875,333377300,TSX,0.0025451153172528773,16300.33994140625,16103.4819921875,0.0031130527355765466,0.0039939924147441115,71.76729600038311,Overbought
2019-04-18,16558.5,16615.099609375,16557.5,16612.80078125,195729700,TSX,0.004146562888474703,16318.75,16121.49201171875,0.002094440061939996,0.003990118648150364,74.53183041193937,Overbought
2019-04-22,16607.19921875,16616.30078125,16552.80078125,16577.30078125,169942700,TSX,-0.0021369063812567424,16343.150048828125,16138.97001953125,0.002598755461050032,0.003932111778848843,70.67513618087175,Overbought
2019-04-23,16591.599609375,16672.69921875,16581.099609375,16669.400390625,221708500,TSX,0.00555576632108723,16373.325048828125,16159.69203125,0.0028978522937216475,0.0038732846276861637,74.37921315356638,Overbought
2019-04-24,16642.099609375,16666.0,16572.099609375,16586.5,212959200,TSX,-0.004973207714875194,16394.8900390625,16180.0440234375,0.0037202679096234635,0.004027859027048177,66.26557822171425,Neutral
2019-04-25,16567.19921875,16593.19921875,16527.900390625,16576.099609375,278775000,TSX,-0.0006270394974828841,16417.07001953125,16198.7240234375,0.003717484116004782,0.004037809996833271,65.30313379112864,Neutral
2019-04-26,16554.30078125,16615.19921875,16515.5,16613.5,282659400,TSX,0.0022562841383897414,16439.97001953125,16218.46001953125,0.0037143945593310023,0.003943569249110156,67.15080049657855,Neutral
2019-04-29,16612.099609375,16642.099609375,16589.80078125,16600.400390625,180944800,TSX,-0.0007884918515063122,16464.88505859375,16236.54802734375,0.0036919234666470233,0.003935220414564609,65.82854754563643,Neutral
2019-04-30,16582.69921875,16618.80078125,16544.599609375,16580.69921875,207324200,TSX,-0.001186788957579954,16482.5150390625,16251.3980078125,0.0033457426832035507,0.0037887014164455592,63.79402842320563,Neutral
2019-05-01,16580.599609375,16604.900390625,16493.80078125,16502.80078125,220860600,TSX,-0.004698139473630292,16494.46005859375,16262.706015625,0.00370455383944366,0.003824774895220997,56.37487329020459,Neutral
2019-05-02,16485.0,16492.900390625,16402.19921875,16410.900390625,255495300,TSX,-0.005568775375960122,16501.01005859375,16270.30001953125,0.0029047863835027343,0.003976716242321917,49.11743432840429,Neutral
2019-05-03,16467.69921875,16496.599609375,16430.0,16494.400390625,202157100,TSX,0.0050880815806853,16510.15009765625,16280.17001953125,0.0036996831953694464,0.0039891547378702,54.80983593677424,Neutral
2019-05-06,16332.7998046875,16493.5,16327.099609375,16493.5,197204000,TSX,-5.458765421451073e-05,16515.01513671875,16289.78001953125,0.003710178703736056,0.003509906600977036,54.73872271373518,Neutral
2019-05-07,16378.0,16408.5,16317.900390625,16357.7998046875,248842000,TSX,-0.008227495395913498,16512.540087890626,16295.796015625,0.0043714555368711905,0.003862285147082046,45.21677783303877,Neutral
2019-05-08,16349.099609375,16451.400390625,16347.2001953125,16397.400390625,213596600,TSX,0.002420899290267231,16515.585107421874,16302.386015625,0.004700706184084638,0.0037648561846360794,48.056451544679476,Neutral
2019-05-09,16342.099609375,16379.0,16258.900390625,16321.7998046875,224368300,TSX,-0.00461052265215911,16511.86005859375,16307.336015625,0.004809596984450414,0.003865027995720782,43.42835431828449,Neutral
